Date,Organization Name,Amount,Cause Area,org_cause
2019-02-01,"80,000 Hours",4795803.0,Meta,"80,000 Hours|Meta"
2019-02-01,Centre for Effective Altruism,2756250.0,Meta,Centre for Effective Altruism|Meta
2019-02-01,UC Berkeley,170000.0,Global Health,UC Berkeley|Global Health
2019-02-01,Essere Animali,150000.0,Animal Welfare,Essere Animali|Animal Welfare
2019-02-01,World Animal Protection,1200000.0,Animal Welfare,World Animal Protection|Animal Welfare
2019-02-01,WildAid,500000.0,Animal Welfare,WildAid|Animal Welfare
2019-02-01,We Animals,240000.0,Animal Welfare,We Animals|Animal Welfare
2019-02-01,The Center for Election Science,1800000.0,Meta,The Center for Election Science|Meta
2019-02-01,Princeton University,100000.0,Animal Welfare,Princeton University|Animal Welfare
2019-01-01,Georgetown University,55000000.0,Longtermism,Georgetown University|Longtermism
2019-01-01,Results for Development,5605398.0,Global Health,Results for Development|Global Health
2019-01-01,Animal Equality,215000.0,Animal Welfare,Animal Equality|Animal Welfare
2019-01-01,Royal Veterinary College,130850.0,Animal Welfare,Royal Veterinary College|Animal Welfare
2019-01-01,The Humane League,750000.0,Animal Welfare,The Humane League|Animal Welfare
2019-01-01,Mercy for Animals,261000.0,Animal Welfare,Mercy for Animals|Animal Welfare
2019-01-01,Princeton University,170000.0,Animal Welfare,Princeton University|Animal Welfare
2019-01-01,UC Berkeley,131579.0,Animal Welfare,UC Berkeley|Animal Welfare
2019-01-01,Cynthia Schuck & Wladimir Alonso,100000.0,Animal Welfare,Cynthia Schuck & Wladimir Alonso|Animal Welfare
2019-01-01,"Farm Forward, Inc",166000.0,Animal Welfare,"Farm Forward, Inc|Animal Welfare"
2019-01-01,Sightsavers,9700000.0,Global Health,Sightsavers|Global Health
2019-01-01,Berkeley Existential Risk Initiative,250000.0,Longtermism,Berkeley Existential Risk Initiative|Longtermism
2019-01-01,Compassion Over Killing,250000.0,Animal Welfare,Compassion Over Killing|Animal Welfare
2019-01-01,Iodine Global Network,100000.0,Global Health,Iodine Global Network|Global Health
2019-01-01,Living Goods,100000.0,Global Health,Living Goods|Global Health
2019-01-01,Center for International Security and Cooperation,1625000.0,Longtermism,Center for International Security and Cooperation|Longtermism
2018-12-01,Evidence Action,100000.0,Global Health,Evidence Action|Global Health
2018-12-01,Helen Keller International,6500000.0,Global Health,Helen Keller International|Global Health
2018-12-01,GiveDirectly,2500000.0,Global Health,GiveDirectly|Global Health
2018-12-01,Global Alliance for Improved Nutrition,100000.0,Global Health,Global Alliance for Improved Nutrition|Global Health
2018-12-01,Biosecure Ltd,25000.0,Longtermism,Biosecure Ltd|Longtermism
2018-12-01,Malaria Consortium ,26600000.0,Global Health,Malaria Consortium |Global Health
2018-12-01,Foundation for Food and Agriculture Research,3000000.0,Animal Welfare,Foundation for Food and Agriculture Research|Animal Welfare
2018-12-01,Against Malaria Foundation,2500000.0,Global Health,Against Malaria Foundation|Global Health
2018-12-01,University of Sydney,32621.0,Longtermism,University of Sydney|Longtermism
2018-12-01,"Georgetown University Initiative on Innovation, Development, and Evaluation",100000.0,Global Health,"Georgetown University Initiative on Innovation, Development, and Evaluation|Global Health"
2018-12-01,The END Fund,2500000.0,Global Health,The END Fund|Global Health
2018-12-01,Development Media International,100000.0,Global Health,Development Media International|Global Health
2018-12-01,The Humane League,22000.0,Animal Welfare,The Humane League|Animal Welfare
2018-12-01,Food Fortification Initiative,100000.0,Global Health,Food Fortification Initiative|Global Health
2018-12-01,Evidence Action,10400000.0,Global Health,Evidence Action|Global Health
2018-12-01,Project Healthy Children,100000.0,Global Health,Project Healthy Children|Global Health
2018-11-01,Evidence Action Beta,3408259.0,Global Health,Evidence Action Beta|Global Health
2018-11-01,International Genetically Engineered Machine Foundation ,420000.0,Longtermism,International Genetically Engineered Machine Foundation |Longtermism
2018-11-01,Nuclear Threat Initiative,1904942.0,Longtermism,Nuclear Threat Initiative|Longtermism
2018-11-01,Animal Welfare Standards Project,1489201.0,Animal Welfare,Animal Welfare Standards Project|Animal Welfare
2018-11-01,University of Bern,150000.0,Animal Welfare,University of Bern|Animal Welfare
2018-11-01,University of British Columbia,50186.0,Animal Welfare,University of British Columbia|Animal Welfare
2018-11-01,Global Animal Partnership,500000.0,Animal Welfare,Global Animal Partnership|Animal Welfare
2018-11-01,UC Berkeley,1145000.0,Longtermism,UC Berkeley|Longtermism
2018-10-01,University of Edinburgh  ,102041.0,Animal Welfare,University of Edinburgh  |Animal Welfare
2018-10-01,Food Frontier,100000.0,Animal Welfare,Food Frontier|Animal Welfare
2018-10-01,Oxford University ,26086.0,Longtermism,Oxford University |Longtermism
2018-10-01,University of Michigan ,46696.0,Meta,University of Michigan |Meta
2018-10-01,Otwarte Klatki ,10350.0,Animal Welfare,Otwarte Klatki |Animal Welfare
2018-10-01,Prevent Cruelty California,4000000.0,Animal Welfare,Prevent Cruelty California|Animal Welfare
2018-10-01,Oxford Uehiro Centre for Practical Ethics ,6683.0,Animal Welfare,Oxford Uehiro Centre for Practical Ethics |Animal Welfare
2018-09-01,Better Eating International,12690.0,Animal Welfare,Better Eating International|Animal Welfare
2018-09-01,Center for a New American Security,400352.0,Longtermism,Center for a New American Security|Longtermism
2018-09-01,Eurogroup For Animals,990000.0,Animal Welfare,Eurogroup For Animals|Animal Welfare
2018-08-01,The Humane League,10000000.0,Animal Welfare,The Humane League|Animal Welfare
2018-08-01,Fórum Nacional de Proteção e Defesa Animal,200000.0,Animal Welfare,Fórum Nacional de Proteção e Defesa Animal|Animal Welfare
2018-08-01,Plant Based Foods Association,250000.0,Animal Welfare,Plant Based Foods Association|Animal Welfare
2018-08-01,Griffith University ,100000.0,Animal Welfare,Griffith University |Animal Welfare
2018-08-01,GoalsRL,7500.0,Longtermism,GoalsRL|Longtermism
2018-07-01,Future of Humanity Institute ,12250810.0,Longtermism,Future of Humanity Institute |Longtermism
2018-07-01,Evidence Action Beta,5069866.0,Global Health,Evidence Action Beta|Global Health
2018-07-01,Charity Science ,265000.0,Animal Welfare,Charity Science |Animal Welfare
2018-07-01,Stanford University,100000.0,Longtermism,Stanford University|Longtermism
2018-07-01,The Wilson Center ,400000.0,Longtermism,The Wilson Center |Longtermism
